# iT  physTime_s  Qy_m3_per_s  qy_cell_m_per_s  u_y_fluid_average_m_per_s  u_y_fluid_max_m_per_s  B_yy_m2
66 2.749999999999999e-10 2.454856821932013e-18 6.294504671620546e-05 1.573626167905137e-04 2.524266128191480e-04 6.294504671620546e-17
67 2.791666666666666e-10 2.476871479729289e-18 6.350952512126382e-05 1.587738128031596e-04 2.553296678636526e-04 6.350952512126382e-17
68 2.833333333333332e-10 2.498625692643682e-18 6.406732545240211e-05 1.601683136310053e-04 2.582052398330821e-04 6.406732545240211e-17
69 2.874999999999999e-10 2.520122932284860e-18 6.461853672525282e-05 1.615463418131321e-04 2.610534562513540e-04 6.461853672525282e-17
70 2.916666666666666e-10 2.541366605475237e-18 6.516324629423686e-05 1.629081157355922e-04 2.638744500121645e-04 6.516324629423687e-17
71 2.958333333333332e-10 2.562360056275215e-18 6.570153990449270e-05 1.642538497612318e-04 2.666683589423002e-04 6.570153990449269e-17
72 2.999999999999999e-10 2.583106568291697e-18 6.623350175106917e-05 1.655837543776729e-04 2.694353255092807e-04 6.623350175106917e-17
73 3.041666666666665e-10 2.603609366410968e-18 6.675921452335816e-05 1.668980363083954e-04 2.721754965549040e-04 6.675921452335815e-17
74 3.083333333333332e-10 2.623871618746947e-18 6.727875945504992e-05 1.681968986376248e-04 2.748890229917855e-04 6.727875945504991e-17
75 3.124999999999999e-10 2.643896438312999e-18 6.779221636699998e-05 1.694805409175000e-04 2.775760594924966e-04 6.779221636699998e-17
76 3.166666666666666e-10 2.663686884811060e-18 6.829966371310412e-05 1.707491592827603e-04 2.802367643378330e-04 6.829966371310412e-17
77 3.208333333333332e-10 2.683245966003690e-18 6.880117861547923e-05 1.720029465386981e-04 2.828712990800479e-04 6.880117861547922e-17
78 3.249999999999999e-10 2.702576639348313e-18 6.929683690636701e-05 1.732420922659175e-04 2.854798283393104e-04 6.929683690636701e-17
79 3.291666666666666e-10 2.721681813341707e-18 6.978671316260788e-05 1.744667829065197e-04 2.880625195187492e-04 6.978671316260788e-17
80 3.333333333333332e-10 2.740564348927207e-18 7.027088074172328e-05 1.756772018543082e-04 2.906195427267359e-04 7.027088074172328e-17
81 3.374999999999999e-10 2.759227060815499e-18 7.074941181578203e-05 1.768735295394551e-04 2.931510704697241e-04 7.074941181578203e-17
82 3.416666666666665e-10 2.777672718629262e-18 7.122237740075030e-05 1.780559435018758e-04 2.956572774376062e-04 7.122237740075031e-17
83 3.458333333333332e-10 2.795904048134591e-18 7.168984738806644e-05 1.792246184701661e-04 2.981383404519023e-04 7.168984738806645e-17
84 3.499999999999999e-10 2.813923732365650e-18 7.215189057347821e-05 1.803797264336955e-04 3.005944381548987e-04 7.215189057347822e-17
85 3.541666666666665e-10 2.831734412529693e-18 7.260857468024855e-05 1.815214367006214e-04 3.030257508986249e-04 7.260857468024855e-17
86 3.583333333333332e-10 2.849338689391509e-18 7.305996639465409e-05 1.826499159866352e-04 3.054324605598170e-04 7.305996639465409e-17
87 3.624999999999999e-10 2.866739123882934e-18 7.350613138161369e-05 1.837653284540342e-04 3.078147504696028e-04 7.350613138161369e-17
88 3.666666666666665e-10 2.883938238278950e-18 7.394713431484487e-05 1.848678357871122e-04 3.101728051396477e-04 7.394713431484487e-17
89 3.708333333333332e-10 2.900938516966882e-18 7.438303889658673e-05 1.859575972414668e-04 3.125068102621540e-04 7.438303889658672e-17
90 3.749999999999998e-10 2.917742407456518e-18 7.481390788350048e-05 1.870347697087512e-04 3.148169524249038e-04 7.481390788350049e-17
91 3.791666666666665e-10 2.934352321046612e-18 7.523980310375928e-05 1.880995077593982e-04 3.171034191667707e-04 7.523980310375928e-17
92 3.833333333333332e-10 2.950770633844436e-18 7.566078548319066e-05 1.891519637079767e-04 3.193663987038638e-04 7.566078548319067e-17
