# iT  physTime_s  Qy_m3_per_s  qy_cell_m_per_s  u_y_fluid_average_m_per_s  u_y_fluid_max_m_per_s  B_yy_m2
153 3.984374999999999e-11 5.056083267389224e-19 1.296431607022878e-05 3.241079017557196e-05 4.023244629365198e-05 1.296431607022878e-17
154 4.010416666666665e-11 5.084668689374251e-19 1.303761202403654e-05 3.259403006009136e-05 4.049274665269710e-05 1.303761202403654e-17
155 4.036458333333332e-11 5.113216153846684e-19 1.311081065088893e-05 3.277702662722233e-05 4.075304146062709e-05 1.311081065088893e-17
156 4.062499999999999e-11 5.141725804625273e-19 1.318391231955198e-05 3.295978079887996e-05 4.101333048059439e-05 1.318391231955198e-17
157 4.088541666666665e-11 5.170197784382004e-19 1.325691739585129e-05 3.314229348962823e-05 4.127361357937221e-05 1.325691739585129e-17
158 4.114583333333332e-11 5.198632234502856e-19 1.332982624231502e-05 3.332456560578754e-05 4.153389052011301e-05 1.332982624231502e-17
159 4.140624999999998e-11 5.227029300152724e-19 1.340263923116083e-05 3.350659807790208e-05 4.179416127321080e-05 1.340263923116083e-17
160 4.166666666666665e-11 5.255389115838831e-19 1.347535670727906e-05 3.368839176819764e-05 4.205442545378828e-05 1.347535670727906e-17
161 4.192708333333332e-11 5.283711818455378e-19 1.354797902168046e-05 3.386994755420114e-05 4.231468294342168e-05 1.354797902168046e-17
162 4.218749999999998e-11 5.311997544169827e-19 1.362050652351238e-05 3.405126630878095e-05 4.257493337203665e-05 1.362050652351238e-17
163 4.244791666666665e-11 5.340246428182829e-19 1.369293955944315e-05 3.423234889860788e-05 4.283517663601234e-05 1.369293955944315e-17
164 4.270833333333332e-11 5.368458603098955e-19 1.376527846948450e-05 3.441319617371126e-05 4.309541251330420e-05 1.376527846948450e-17
165 4.296874999999998e-11 5.396634202019147e-19 1.383752359492089e-05 3.459380898730223e-05 4.335564078186757e-05 1.383752359492089e-17
166 4.322916666666665e-11 5.424773355428841e-19 1.390967527033036e-05 3.477418817582590e-05 4.361586116044599e-05 1.390967527033036e-17
167 4.348958333333332e-11 5.452876193311097e-19 1.398173382900281e-05 3.495433457250704e-05 4.387607347140378e-05 1.398173382900281e-17
168 4.374999999999998e-11 5.480942844989321e-19 1.405369960253672e-05 3.513424900634180e-05 4.413627738907550e-05 1.405369960253672e-17
169 4.401041666666665e-11 5.508973437634006e-19 1.412557291701027e-05 3.531393229252568e-05 4.439647278023438e-05 1.412557291701027e-17
170 4.427083333333332e-11 5.536968097964625e-19 1.419735409734519e-05 3.549338524336298e-05 4.465665937842691e-05 1.419735409734519e-17
171 4.453124999999999e-11 5.564926949337591e-19 1.426904345983998e-05 3.567260864959994e-05 4.491683682838172e-05 1.426904345983998e-17
172 4.479166666666665e-11 5.592850116323631e-19 1.434064132390675e-05 3.585160330976687e-05 4.517700499687202e-05 1.434064132390675e-17
173 4.505208333333332e-11 5.620737723675730e-19 1.441214800942495e-05 3.603037002356237e-05 4.543716360264136e-05 1.441214800942495e-17
174 4.531249999999999e-11 5.648589893663675e-19 1.448356382990686e-05 3.620890957476715e-05 4.569731240884214e-05 1.448356382990686e-17
175 4.557291666666665e-11 5.676406747184738e-19 1.455488909534548e-05 3.638722273836371e-05 4.595745116382380e-05 1.455488909534548e-17
176 4.583333333333332e-11 5.704188404489028e-19 1.462612411407443e-05 3.656531028518608e-05 4.621757954192092e-05 1.462612411407443e-17
177 4.609374999999999e-11 5.731934984703474e-19 1.469726919154737e-05 3.674317297886843e-05 4.647769742470970e-05 1.469726919154737e-17
178 4.635416666666665e-11 5.759646606153333e-19 1.476832463116239e-05 3.692081157790598e-05 4.673780439770690e-05 1.476832463116239e-17
179 4.661458333333332e-11 5.787323385920412e-19 1.483929073312926e-05 3.709822683282316e-05 4.699790026847385e-05 1.483929073312926e-17
180 4.687499999999998e-11 5.814965440209443e-19 1.491016779540883e-05 3.727541948852208e-05 4.725798468173920e-05 1.491016779540883e-17
181 4.713541666666665e-11 5.842572884225030e-19 1.498095611339751e-05 3.745239028349379e-05 4.751805748947319e-05 1.498095611339751e-17
182 4.739583333333332e-11 5.870145832091625e-19 1.505165597972212e-05 3.762913994930529e-05 4.777811835120743e-05 1.505165597972212e-17
183 4.765624999999998e-11 5.897684396935863e-19 1.512226768445093e-05 3.780566921112733e-05 4.803816695607950e-05 1.512226768445093e-17
184 4.791666666666665e-11 5.925188691141461e-19 1.519279151574734e-05 3.798197878936834e-05 4.829820308204475e-05 1.519279151574734e-17
185 4.817708333333332e-11 5.952658825831564e-19 1.526322775854247e-05 3.815806939635618e-05 4.855822634422591e-05 1.526322775854247e-17
186 4.843749999999998e-11 5.980094912031714e-19 1.533357669751721e-05 3.833394174379304e-05 4.881823652057832e-05 1.533357669751722e-17
187 4.869791666666665e-11 6.007497059050768e-19 1.540383861295069e-05 3.850959653237672e-05 4.907823327063364e-05 1.540383861295069e-17
188 4.895833333333332e-11 6.034865376074536e-19 1.547401378480650e-05 3.868503446201626e-05 4.933821635754428e-05 1.547401378480650e-17
189 4.921874999999998e-11 6.062199971078683e-19 1.554410248994534e-05 3.886025622486336e-05 4.959818550005370e-05 1.554410248994534e-17
