# iT  physTime_s  Qx_m3_per_s  qx_cell_m_per_s  max_abs_ux_m_per_s
179 7.458333333333331e-10 -2.361014814886499e-20 -6.053884140734614e-07 5.632221442773890e-06
180 7.499999999999997e-10 -1.474308680313521e-20 -3.780278667470566e-07 4.652602486530000e-06
181 7.541666666666664e-10 -5.979199842736967e-21 -1.533128164804351e-07 3.669818180796021e-06
182 7.583333333333331e-10 2.642196457834415e-21 6.774862712395937e-08 3.168170197617590e-06
183 7.624999999999997e-10 1.108325654688644e-20 2.841860653047805e-07 3.736740762365321e-06
184 7.666666666666664e-10 1.930775017432278e-20 4.950705172903277e-07 4.276876702057926e-06
185 7.708333333333331e-10 2.728119579789231e-20 6.995178409715978e-07 4.786542574510307e-06
186 7.749999999999997e-10 3.497098229286848e-20 8.966918536632944e-07 5.263881472501894e-06
187 7.791666666666664e-10 4.234647928767881e-20 1.085807161222534e-06 5.749191286889801e-06
188 7.833333333333331e-10 4.937913605942631e-20 1.266131693831444e-06 6.384591778272028e-06
189 7.874999999999997e-10 5.604256912289963e-20 1.436988951869221e-06 6.977591264696873e-06
190 7.916666666666664e-10 6.231263841685250e-20 1.597759959406474e-06 7.526171012835439e-06
191 7.958333333333330e-10 6.816751248741801e-20 1.747884935574821e-06 8.028565201864613e-06
192 7.999999999999997e-10 7.358772265644505e-20 1.886864683498591e-06 8.483265738134309e-06
193 8.041666666666664e-10 7.855620591681531e-20 2.014261690174752e-06 8.889025286076332e-06
194 8.083333333333330e-10 8.305833683063096e-20 2.129700944375153e-06 9.244858981292560e-06
195 8.124999999999997e-10 8.708194885752424e-20 2.232870483526263e-06 9.645830026946070e-06
196 8.166666666666663e-10 9.061734457481546e-20 2.323521655764499e-06 1.003514051111143e-05
197 8.208333333333330e-10 9.365729508983500e-20 2.401469104867564e-06 1.036944022899043e-05
198 8.249999999999997e-10 9.619702867086935e-20 2.466590478740240e-06 1.064822560192208e-05
199 8.291666666666663e-10 9.823420882303210e-20 2.518825867257234e-06 1.087126994456826e-05
200 8.333333333333330e-10 9.976890173319402e-20 2.558176967517796e-06 1.103861809883572e-05
201 8.374999999999997e-10 1.008035333398793e-19 2.584705983073827e-06 1.115058012040785e-05
202 8.416666666666663e-10 1.013428360812329e-19 2.598534258493150e-06 1.126671789441643e-05
203 8.458333333333330e-10 1.013937859302023e-19 2.599840664876982e-06 1.135523293092209e-05
204 8.499999999999998e-10 1.009655297049053e-19 2.588859736023213e-06 1.138846739473146e-05
205 8.541666666666664e-10 1.000693030849508e-19 2.565879566280790e-06 1.136735505742088e-05
206 8.583333333333331e-10 9.871833989604073e-20 2.531239484513865e-06 1.129306588681421e-05
207 8.624999999999997e-10 9.692777318706319e-20 2.485327517617005e-06 1.118181025304095e-05
208 8.666666666666664e-10 9.471452845365280e-20 2.428577652657764e-06 1.105941961888691e-05
209 8.708333333333331e-10 9.209720989362155e-20 2.361466920349271e-06 1.088729995643287e-05
210 8.749999999999997e-10 8.909598029711060e-20 2.284512315310528e-06 1.066829037982594e-05
211 8.791666666666664e-10 8.573243531882890e-20 2.198267572277664e-06 1.042903159347375e-05
212 8.833333333333330e-10 8.202947287345193e-20 2.103319817267998e-06 1.014528218481790e-05
213 8.874999999999997e-10 7.801115835306619e-20 2.000286111617082e-06 9.819237391799466e-06
214 8.916666666666664e-10 7.370258669528111e-20 1.889809915263618e-06 9.453247441864767e-06
215 8.958333333333330e-10 6.912974201347614e-20 1.772557487525029e-06 9.049803685222552e-06
216 8.999999999999997e-10 6.431935553747355e-20 1.649214244550604e-06 8.611524801223109e-06
217 9.041666666666664e-10 5.929876294969466e-20 1.520481101274222e-06 8.141142408504169e-06
218 9.083333333333330e-10 5.409576151037385e-20 1.387070807958304e-06 7.641486698704925e-06
219 9.124999999999997e-10 4.873846799582571e-20 1.249704307585275e-06 7.115471459557419e-06
220 9.166666666666664e-10 4.325517822729190e-20 1.109107134033125e-06 6.566079390336634e-06
221 9.208333333333330e-10 3.767422861798825e-20 9.660058619996989e-07 5.996346525431430e-06
222 9.249999999999997e-10 3.202386077382053e-20 8.211246352261675e-07 5.409347731131094e-06
223 9.291666666666663e-10 2.633208938443085e-20 6.751817790879707e-07 4.808181362343104e-06
224 9.333333333333330e-10 2.062657394765951e-20 5.288865114784490e-07 4.195954333794193e-06
225 9.374999999999997e-10 1.493449547631738e-20 3.829357814440355e-07 3.575767309655176e-06
226 9.416666666666664e-10 9.282437806462866e-21 2.380112258067402e-07 2.950700007888849e-06
227 9.458333333333329e-10 3.696274401097676e-21 9.477626669481221e-08 2.323796974592294e-06
228 9.499999999999996e-10 -1.798938992671461e-21 -4.612664083772977e-08 2.031791029890516e-06
