step,time_s,fluid_nodes,fluid_volume_m3,fluid_mass_kg,fluid_mass_signed_rel,fluid_mass_abs_rel,max_density_deviation,volume_mean_ux_m_s,max_abs_ux_m_s,Qx_legacy_m3_s,qx_legacy_m_s,Bxx_numerical_residual_m2,Qx_plane_groove1_m3_s,Qx_plane_groove2_m3_s,nonfinite_count,all_finite
80,3.3333333333333322e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,-1.2572845598535685e-05,2.9273229921163396e-05,-2.1122380605539942e-19,-5.4159950270615236e-06,-5.4159950270615233e-18,-3.1988961758679105e-19,-3.1988961758679105e-19,0,1
81,3.3749999999999987e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,-1.1338909716525618e-05,2.7277827400230927e-05,-1.9049368323763030e-19,-4.8844534163494951e-06,-4.8844534163494955e-18,-2.8840946904851547e-19,-2.8840946904851547e-19,0,1
82,3.4166666666666652e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,-1.0073182754781264e-05,2.5201457972007724e-05,-1.6922947028032515e-19,-4.3392171866750041e-06,-4.3392171866750040e-18,-2.5634462413824685e-19,-2.5634462413824685e-19,0,1
83,3.4583333333333322e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,-8.7827575421744705e-06,2.3053492033552947e-05,-1.4755032670853105e-19,-3.7833417104751552e-06,-3.7833417104751549e-18,-2.2382161944177827e-19,-2.2382161944177827e-19,0,1
84,3.4999999999999988e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,-7.4747447915376213e-06,2.0843291577535706e-05,-1.2557571249783199e-19,-3.2198900640469742e-06,-3.2198900640469740e-18,-1.9096369782846088e-19,-1.9096369782846088e-19,0,1
85,3.5416666666666653e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,-6.1562109008034351e-06,1.8580248028636182e-05,-1.0342434313349767e-19,-2.6519062341922480e-06,-2.6519062341922484e-18,-1.5789194234863433e-19,-1.5789194234863433e-19,0,1
86,3.5833333333333323e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,-4.8341191915780007e-06,1.6273878814445520e-05,-8.1213202418510390e-20,-2.0823898056028307e-06,-2.0823898056028307e-18,-1.2472701673026515e-19,-1.2472701673026515e-19,0,1
87,3.6249999999999989e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,-3.5152756379437803e-06,1.3933848270965677e-05,-5.9056630717455481e-20,-1.5142725824988585e-06,-1.5142725824988586e-18,-9.1590041353804947e-20,-9.1590041353804947e-20,0,1
88,3.6666666666666654e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,-2.2062801951397196e-06,1.1570030810599024e-05,-3.7065507278347275e-20,-9.5039762252172506e-07,-9.5039762252172507e-19,-5.8603829587666507e-20,-5.8603829587666507e-20,0,1
89,3.7083333333333319e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,-9.1348432635897449e-07,9.1925000530649595e-06,-1.5346536682830767e-20,-3.9350094058540431e-07,-3.9350094058540433e-19,-2.5893208420635942e-20,-2.5893208420635942e-20,0,1
90,3.7499999999999984e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,3.5704483647128177e-07,7.5463992259086863e-06,5.9983532527175312e-21,1.5380392955685979e-07,1.5380392955685979e-19,6.4144628774547344e-21,6.4144628774547344e-21,0,1
91,3.7916666666666655e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,1.5995536118802875e-06,8.9236472342289831e-06,2.6872500679588822e-20,6.8903847896381605e-07,6.8903847896381605e-19,3.8189659675560187e-20,3.8189659675560187e-20,0,1
92,3.8333333333333320e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,2.8086242382693829e-06,1.0241649315853596e-05,4.7184887202925612e-20,1.2098689026391182e-06,1.2098689026391183e-18,6.9300934050010011e-20,6.9300934050010011e-20,0,1
93,3.8749999999999985e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,3.9791911087980129e-06,1.1495251648967721e-05,6.6850410627806595e-20,1.7141130930206820e-06,1.7141130930206820e-18,9.9615943481639278e-20,9.9615943481639278e-20,0,1
94,3.9166666666666655e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,5.1065512050902271e-06,1.2679267397423529e-05,8.5790060245515780e-20,2.1997451345004045e-06,2.1997451345004049e-18,1.2900233825705654e-19,1.2900233825705654e-19,0,1
