run_id,gap_nm,mode,coordinate_nm,fluid_area_m2,pressure_section_mean_Pa,Q_total_m3_s,Q_gap_m3_s,Q_recess_m3_s,recess_fraction_of_Q,periodic_section_pressure_gradient_Pa_m
sim_ec1xt240_right_angle_h75_dx5_a1e5_y_20260909,75,y,17.5,3e-14,-0.4244992721825838,2.998786448597457e-18,1.782315913987986e-18,1.2164705346094705e-18,0.4056542723068587,-24527097.672224045
sim_ec1xt240_right_angle_h75_dx5_a1e5_y_20260909,75,y,22.5,3e-14,-0.5477349558969339,2.998786451689739e-18,1.7809603195473754e-18,1.2178261321423633e-18,0.40610632059383545,-24840831.018984314
sim_ec1xt240_right_angle_h75_dx5_a1e5_y_20260909,75,y,27.5,3e-14,-0.672907582372427,2.998786452599234e-18,1.7792031769658935e-18,1.2195832756333402e-18,0.4066922719943102,-25305156.57365322
sim_ec1xt240_right_angle_h75_dx5_a1e5_y_20260909,75,y,32.5,3e-14,-0.8007865216334661,2.998786460932479e-18,1.7769999933079815e-18,1.2217864676244973e-18,0.4074269653880524,-26006218.20489566
sim_ec1xt240_right_angle_h75_dx5_a1e5_y_20260909,75,y,37.5,3e-14,-0.9329697644213836,2.998786467082937e-18,1.774294136794197e-18,1.22449233028874e-18,0.40832928377186595,-26988766.411940247
sim_ec1xt240_right_angle_h75_dx5_a1e5_y_20260909,75,y,42.5,3e-14,-1.0706741857528685,2.9987864634676953e-18,1.7710152966174066e-18,1.2277711668502888e-18,0.4094226720733345,-28447316.437959667
sim_ec1xt240_right_angle_h75_dx5_a1e5_y_20260909,75,y,47.5,3e-14,-1.2174429288009803,2.9987864785880446e-18,1.7670764558715746e-18,1.2317100227164701e-18,0.4107361532777123,-30324641.43633844
sim_ec1xt240_right_angle_h75_dx5_a1e5_y_20260909,75,y,52.5,3e-14,-1.373920600116253,2.998786480634408e-18,1.7623742675368704e-18,1.2364122130975375e-18,0.41230418406980696,-32950753.4901301
sim_ec1xt240_right_angle_h75_dx5_a1e5_y_20260909,75,y,57.5,3e-14,-1.5469504637022813,2.998786484545235e-18,1.7567982161381224e-18,1.2419882684071128e-18,0.4141636207872465,-235036346.1957091
sim_ec1xt240_right_angle_h75_dx5_a1e5_y_20260909,75,y,62.5,4.2000000000000004e-14,-3.724284062073344,2.9987864976532692e-18,1.7385126993758606e-18,1.2602737982774087e-18,0.42026126210173637,-187853721.7988854
